;T;UMIN;KMH;AVG_KMH;KM_TOTAL;KM_RALLYE;KM_SECTOR;KM_SECTOR_PRESET;KM_SECTOR_TO_BE_DRIVEN;FRAC_SECTOR_DRIVEN;DEV_AVG_KMH;KMH_GPS;LAT;LON;KM_TOTAL_GPS;KM_RALLYE_GPS;KM_SECTOR_GPS
data;43,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849794333;7,844721333;0,00;0,00;0,00
data;44,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849791167;7,8447225;0,00;0,00;0,00
data;45,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;6,3;49,849759;7,8447365;0,00;0,00;0,00
data;46,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;8,7;49,849725833;7,844752;0,01;0,01;0,01
data;47,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;4,2;49,849720333;7,844754667;0,01;0,01;0,01
data;48,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849716333;7,844755833;0,01;0,01;0,01
data;49,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497135;7,844756667;0,01;0,01;0,01
data;50,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849710667;7,8447575;0,01;0,01;0,01
data;51,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849707833;7,844758333;0,01;0,01;0,01
data;52,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849705;7,844759;0,01;0,01;0,01
data;53,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849703167;7,8447595;0,01;0,01;0,01
data;54,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849705833;7,844759833;0,01;0,01;0,01
data;55,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849707;7,844760333;0,01;0,01;0,01
data;56,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849709667;7,844759833;0,01;0,01;0,01
data;57,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849709667;7,844759667;0,01;0,01;0,01
data;58,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849712667;7,844759167;0,01;0,01;0,01
data;59,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497115;7,844760833;0,01;0,01;0,01
data;60,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,84971;7,844760667;0,01;0,01;0,01
data;61,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849706667;7,844761;0,01;0,01;0,01
data;62,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497045;7,844760167;0,01;0,01;0,01
data;63,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849704833;7,844760667;0,01;0,01;0,01
data;64,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849706667;7,844760833;0,01;0,01;0,01
data;65,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849706;7,844760333;0,01;0,01;0,01
data;66,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849708;7,8447605;0,01;0,01;0,01
data;67,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849713167;7,844761833;0,01;0,01;0,01
data;68,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849717833;7,844763333;0,01;0,01;0,01
data;69,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849719667;7,844763333;0,01;0,01;0,01
data;70,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849721167;7,844763333;0,01;0,01;0,01
data;71,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497225;7,844763667;0,01;0,01;0,01
data;72,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849721833;7,844762833;0,01;0,01;0,01
data;73,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849720667;7,844762;0,01;0,01;0,01
data;74,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849727167;7,844760833;0,01;0,01;0,01
data;75,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497315;7,844760333;0,01;0,01;0,01
data;76,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849733833;7,844759667;0,01;0,01;0,01
data;77,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849737;7,844756833;0,01;0,01;0,01
data;78,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497365;7,844755833;0,01;0,01;0,01
data;79,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849737333;7,844754667;0,01;0,01;0,01
data;80,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849740333;7,844752833;0,01;0,01;0,01
data;81,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849739333;7,844754667;0,01;0,01;0,01
data;82,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849734667;7,8447555;0,01;0,01;0,01
data;83,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849741833;7,844753167;0,01;0,01;0,01
data;84,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849748833;7,844750833;0,01;0,01;0,01
data;85,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849742833;7,844752;0,01;0,01;0,01
data;1,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849794167;7,844844;0,00;0,00;0,00
data;2,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849795;7,844843167;0,00;0,00;0,00
data;3,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849797;7,844840167;0,00;0,00;0,00
data;4,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849801667;7,8448345;0,00;0,00;0,00
data;5,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849804667;7,844831;0,00;0,00;0,00
data;6,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849803667;7,844831167;0,00;0,00;0,00
data;7,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849804333;7,844828333;0,00;0,00;0,00
data;8,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849804167;7,844828;0,00;0,00;0,00
data;9,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849801167;7,844829833;0,00;0,00;0,00
data;10,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849802;7,844828;0,00;0,00;0,00
data;11,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8498025;7,844825833;0,00;0,00;0,00
data;12,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849801;7,844825667;0,00;0,00;0,00
data;13,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8498035;7,844822333;0,00;0,00;0,00
data;14,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849807333;7,844817667;0,00;0,00;0,00
data;15,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849803167;7,844818167;0,00;0,00;0,00
data;16,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849797667;7,844819;0,00;0,00;0,00
data;17,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849792667;7,8448205;0,00;0,00;0,00
data;18,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849796;7,8448165;0,00;0,00;0,00
data;19,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849794667;7,844815667;0,00;0,00;0,00
data;20,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849794833;7,844817;0,00;0,00;0,00
data;21,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849792833;7,844816167;0,00;0,00;0,00
data;22,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849787167;7,844817667;0,00;0,00;0,00
data;23,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849790833;7,844813833;0,00;0,00;0,00
data;24,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849789;7,844814833;0,00;0,00;0,00
data;25,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849790333;7,844813;0,00;0,00;0,00
data;26,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497855;7,844814833;0,00;0,00;0,00
data;27,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849786333;7,844813667;0,00;0,00;0,00
data;28,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497875;7,844810667;0,00;0,00;0,00
data;29,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849785333;7,844810333;0,00;0,00;0,00
